time_sec,cpu_percent,memory_mb
0.06,3.90,110.40
0.14,5.20,110.40
0.21,4.70,110.40
0.31,5.00,110.40
0.41,5.00,110.40
0.51,5.00,110.40
0.61,5.00,110.40
0.71,5.00,110.40
0.81,5.00,110.40
0.91,5.00,110.40
1.01,5.00,110.40
1.11,5.00,110.40
1.21,5.00,110.40
1.31,5.00,110.40
1.41,5.00,110.40
1.51,5.00,110.40
1.61,5.00,110.40
1.71,5.00,110.40
1.81,5.00,110.40
1.91,5.50,110.40
2.01,5.00,110.40
2.11,5.00,110.40
2.21,5.00,110.40
2.31,5.00,110.40
2.41,5.00,110.40
2.51,5.00,110.40
2.61,5.00,110.40
2.71,5.00,110.40
2.81,5.00,110.40
2.91,5.00,110.40
3.01,5.00,110.40
3.11,5.00,110.40
3.21,5.00,110.40
3.31,5.00,110.40
3.41,5.00,110.40
3.51,5.00,110.40
3.61,5.00,110.40
3.71,5.00,110.40
3.81,5.00,110.40
3.91,5.00,110.40
4.01,5.00,110.40
4.11,5.00,110.40
4.21,5.00,110.40
4.31,5.00,110.40
4.41,5.00,110.40
4.51,5.00,110.40
4.61,5.00,110.40
4.71,5.00,110.40
4.81,5.00,110.40
4.91,5.00,110.40
5.01,5.00,110.40
5.11,5.00,110.40
5.21,5.00,110.40
5.31,5.00,110.40
5.41,5.00,110.40
5.51,5.00,110.40
5.61,5.00,110.40
5.71,5.00,110.40
5.81,5.00,110.40

Total Execution Time,5.9003,seconds
