time_sec,cpu_percent,memory_mb
9.35,0.00,567.54
9.40,4.70,583.38
9.50,5.50,613.38
9.60,5.00,641.38
9.70,5.00,427.28
9.80,4.50,970.86
9.90,5.50,1436.86
10.00,5.00,1871.80
10.10,5.00,2273.80
10.20,5.00,1805.83
10.30,5.00,2005.67
10.40,5.00,2208.48
10.50,5.00,2408.64
10.60,5.00,2612.70
10.70,5.50,2822.39
10.80,5.00,3031.92
10.90,5.00,3240.67
11.00,5.00,3449.89
11.10,5.00,3660.05
11.20,5.00,3870.20
11.30,5.00,4017.23
11.40,5.00,4017.23
11.50,5.00,4017.23
11.60,5.00,4017.23
11.70,5.50,4017.23
11.80,5.00,4017.23
11.90,5.00,4017.23
12.00,5.00,4017.23
12.10,5.00,4017.23
12.20,5.00,4017.23
12.30,5.00,4017.23
12.40,5.00,4017.23
12.50,5.00,4017.23
12.60,5.00,4017.23
12.70,5.00,4017.23
12.80,5.50,4017.23
12.90,5.00,4017.23
13.00,5.00,4017.23
13.10,5.00,4017.23
13.20,5.00,4017.23
13.30,5.00,4017.23
13.40,5.00,3329.30
13.50,5.50,3805.30
13.60,5.00,2514.84
13.70,5.00,2739.37
13.80,4.50,2963.90
13.90,5.50,3188.12
14.00,5.00,3404.37
14.10,5.00,3617.96
14.20,5.00,3829.21
14.30,5.00,4021.24
14.40,5.00,4021.24
14.50,5.00,4021.24
14.60,5.00,4021.24
14.70,5.00,4021.24
14.80,5.50,4021.24
14.90,5.00,4021.24
15.00,5.00,4021.24
15.10,5.00,4021.24
15.20,5.00,4021.24
15.30,5.00,4021.24
15.40,5.00,4021.24
15.50,5.00,4021.24
15.60,5.00,4021.24
15.70,5.00,4021.24
15.80,5.00,4021.24
15.90,5.00,4021.24
16.00,5.00,4021.24
16.10,5.50,4021.24
16.20,5.00,4021.24
16.30,5.00,4021.24
16.40,5.50,3377.39
16.50,5.00,3693.38
16.60,4.50,3453.14
16.70,5.50,3555.38
16.80,4.50,3907.38
16.90,5.50,4165.28
