time_sec,cpu_percent,memory_mb
0.00,0.00,266.57
0.10,9.70,1029.52
0.20,7.30,1029.52
0.30,10.70,648.14
0.40,16.80,648.14
0.50,14.30,648.14
0.60,13.00,648.14
0.70,15.00,338.80
0.80,13.70,556.27
0.90,9.60,784.43
1.00,10.60,1020.64
1.10,10.90,1182.54
1.20,0.00,1367.94
1.30,11.60,1469.11
1.40,15.70,1528.40
1.50,0.00,1661.63
1.60,0.00,1755.53
1.70,0.00,1912.90
1.80,0.00,2064.04
1.90,0.00,2220.18
2.00,0.00,2256.07
2.10,0.00,2242.59
2.20,0.00,1580.49
2.30,19.90,1726.90
2.40,17.70,1895.65
2.50,13.00,2061.74
2.60,0.00,2224.02
2.70,0.00,2336.29
2.80,0.00,2322.89
2.90,0.00,2310.96
3.00,0.00,2300.89
3.10,0.00,2291.45
3.20,0.00,2306.37
3.30,20.20,2337.17
3.40,17.20,2383.06
3.50,22.40,2479.74
3.60,0.00,2598.20
3.70,0.00,2768.62
3.80,0.00,2912.12
3.90,0.00,3096.71
4.00,0.00,3275.96
4.10,0.00,3411.83
4.20,0.00,3508.28
4.30,24.20,3508.28
4.40,15.80,3508.28
4.50,23.00,3508.28
4.60,27.70,3508.28
4.70,52.70,3464.97
4.80,32.50,3440.37
4.90,22.30,3440.37
5.00,31.90,3440.37
5.10,28.00,3440.37
5.20,0.00,3440.37
5.30,20.60,3440.37
5.40,13.80,3440.37
5.50,13.80,3440.37
5.60,24.70,3426.37
5.70,37.40,3391.21
5.80,23.80,3391.21
5.90,0.00,3391.21
6.00,0.00,3391.21
6.10,0.00,3391.21
6.20,0.00,3391.21
6.30,19.50,3391.21
6.40,17.90,3397.00
6.50,26.50,3438.68
6.60,16.70,3486.17
6.70,16.60,2965.27
6.80,16.00,2827.07
6.90,0.00,3040.35
7.00,0.00,3238.57
7.10,0.00,3416.85
7.20,0.00,2740.26
7.30,16.20,2064.70
7.40,14.50,2303.10
7.50,14.70,2563.31
7.60,18.60,2791.70
7.70,0.00,2982.56
7.80,0.00,3218.09
7.90,0.00,3438.36
8.00,0.00,3609.17
8.10,0.00,3780.80
8.20,0.00,3966.94
8.30,19.10,4044.64
8.40,18.20,4129.46
8.50,20.10,4274.62
8.60,12.70,4274.62
8.70,36.00,4274.62
8.80,26.10,4274.62
8.90,9.10,4274.62
9.00,6.50,4274.62
9.10,8.60,4274.62
9.20,14.50,4274.62
9.30,12.30,4274.62
9.40,18.10,4274.62
9.50,0.00,4274.62
9.60,0.00,4274.62
9.70,0.00,4274.62
9.80,0.00,4274.62
9.90,0.00,4274.62
10.00,0.00,4274.62
10.10,0.00,4275.07
10.20,0.00,4275.64
10.30,17.20,4275.64
10.40,16.30,4275.78
10.50,16.90,4275.91
10.60,15.20,4276.00
10.70,0.00,3508.28
10.80,0.00,3687.84
10.90,0.00,3893.58
11.00,0.00,4103.07
11.10,0.00,3508.29
11.20,0.00,2740.29
11.30,18.80,2883.45
11.40,16.90,3053.30
11.50,15.40,3212.09
11.60,49.40,3337.77
11.70,100.00,3337.77
11.80,100.00,3372.27
11.90,100.00,3392.80
12.00,100.00,3392.80
12.10,100.00,3411.92
12.20,72.00,3518.63
12.30,54.60,3683.16
12.40,33.10,3858.21
12.50,29.40,4030.27
12.60,0.00,4154.26
12.70,0.00,4154.26
12.80,0.00,4174.22
12.90,0.00,4180.60
13.00,0.00,4235.69
13.10,0.00,4248.66
13.20,0.00,4339.51
13.30,82.80,4237.27
13.40,40.30,4109.55
13.50,23.10,3992.52
13.60,20.70,3874.28
13.70,21.00,3755.01
13.80,18.80,3657.40
13.90,21.00,3671.37
14.00,13.70,3401.57
14.10,14.70,3119.99
14.20,0.00,2843.69
14.30,15.70,2573.83
14.40,13.20,2348.89
14.50,27.90,2321.08
14.60,36.00,2433.75
14.70,0.00,2570.74
14.80,0.00,2712.59
14.90,0.00,2844.59
15.00,0.00,2965.55
15.10,0.00,3037.18
15.20,0.00,3102.64
15.30,19.90,3167.97
15.40,14.00,3249.32
15.50,13.80,3323.12
15.60,0.00,3390.27
15.70,0.00,3412.40
15.80,0.00,3412.40
15.90,0.00,3412.40
16.00,0.00,3412.40
16.10,0.00,3412.40
16.20,0.00,3412.40
16.30,24.90,3412.40
16.40,15.60,3412.40
16.50,18.80,3412.40
16.60,16.00,3412.40
16.70,14.70,3412.40
16.80,13.70,3412.40
16.90,0.00,3412.40
17.00,0.00,3412.40
17.10,0.00,3412.40
17.20,0.00,3412.40
17.30,14.50,3412.41
17.40,13.90,3412.41
17.50,13.80,3412.41
17.60,15.90,3412.41
17.70,12.80,3412.42
17.80,14.80,2644.41
17.90,14.40,2772.50
18.00,13.30,2974.81
18.10,0.00,3178.76
18.20,0.00,3381.33
18.30,15.40,2640.99
18.40,21.10,1972.48
18.50,16.70,2153.32
18.60,16.00,2344.00
18.70,16.80,2519.90
18.80,13.20,2702.41
18.90,13.40,2037.04
19.00,15.70,2246.08
19.10,14.10,2445.50
